,GLD,GDX,positions,num_shares_GLD,num_shares_GDX,cash,holdings,total_asset,transaction_costs,pnl,cumulative_pnl,returns
2024-09-18 13:17:00,237.63,39.24,1,210.2887944187853,-910.7893306933091,85752.34344967152,14231.552881330499,99983.89633100202,0.0,7.005005362749216,-16.103668997981003,7.006624500793812e-05
2024-09-18 13:18:00,237.59,39.24,1,210.2887944187853,-910.7893306933091,85752.34344967152,14223.14132955375,99975.48477922527,0.0,-8.411551776749548,-24.51522077473055,-8.412906563370903e-05
2024-09-18 13:19:00,237.6,39.25,1,210.2887944187853,-910.7893306933091,85752.34344967152,14216.136324191,99968.47977386252,0.0,-7.005005362749216,-31.520226137479767,-7.006723076385946e-05
2024-09-18 13:20:00,237.56,39.22,1,210.2887944187853,-910.7893306933091,85752.34344967152,14235.048452335053,99987.39190200658,0.0,18.91212814406026,-12.608097993419506,0.00018918091169184414
2024-09-18 13:21:00,237.55,39.24,1,210.2887944187853,-910.7893306933091,85752.34344967152,14214.729777777,99967.07322744852,0.0,-20.318674558060593,-32.9267725514801,-0.00020321236679499144
2024-09-18 13:22:00,237.55,39.23,0,0.0,0.0,99976.18112075546,0.0,99976.18112075546,0.0,9.107893306936603,-23.818879244543496,9.110893230035444e-05
2024-09-18 13:23:00,237.58,39.24,0,0.0,0.0,99976.18112075546,0.0,99976.18112075546,0.0,0.0,-23.818879244543496,0.0
2024-09-18 13:24:00,237.61,39.25,0,0.0,0.0,99976.18112075546,0.0,99976.18112075546,0.0,0.0,-23.818879244543496,0.0
2024-09-18 13:25:00,237.66,39.26,-1,-210.33447176797833,911.0658656494453,114195.82579573596,-14219.64467498051,99976.18112075544,0.0,-1.4551915228366852e-11,-23.818879244558048,-1.1102230246251565e-16
2024-09-18 13:26:00,237.7,39.27,-1,-210.33447176797833,911.0658656494453,114195.82579573596,-14218.94739519473,99976.87840054123,0.0,0.6972797857888509,-23.121599458769197,6.9744590958098485e-06
2024-09-18 13:27:00,237.76,39.27,-1,-210.33447176797833,911.0658656494453,114195.82579573596,-14231.56746350081,99964.25833223516,0.0,-12.620068306074245,-35.74166776484344,-0.0001262298694255648
2024-09-18 13:28:00,237.73,39.29,0,0.0,0.0,99988.78968370118,0.0,99988.78968370118,0.0,24.531351466022898,-11.210316298820544,0.00024540122515070983
2024-09-18 13:29:00,237.64,39.29,0,0.0,0.0,99988.78968370118,0.0,99988.78968370118,0.0,0.0,-11.210316298820544,0.0
2024-09-18 13:30:00,237.67,39.31,0,0.0,0.0,99988.78968370118,0.0,99988.78968370118,0.0,0.0,-11.210316298820544,0.0
2024-09-18 13:31:00,237.65,39.31,1,210.36984995518867,-910.0217971730311,85767.35168872244,14221.437994978733,99988.78968370118,0.0,0.0,-11.210316298820544,0.0
2024-09-18 13:32:00,237.65,39.32,1,210.36984995518867,-910.0217971730311,85767.35168872244,14212.337777007007,99979.68946572945,0.0,-9.10021797173249,-20.310534270553035,-9.101238249331622e-05
2024-09-18 13:33:00,237.72,39.33,0,0.0,0.0,99985.31513725457,0.0,99985.31513725457,0.0,5.625671525122016,-14.684862745431019,5.626814361181509e-05
2024-09-18 13:34:00,237.74,39.33,0,0.0,0.0,99985.31513725457,0.0,99985.31513725457,0.0,0.0,-14.684862745431019,0.0
2024-09-18 13:35:00,237.77,39.33,0,0.0,0.0,99985.31513725457,0.0,99985.31513725457,0.0,0.0,-14.684862745431019,0.0
2024-09-18 13:36:00,237.77,39.32,0,0.0,0.0,99985.31513725457,0.0,99985.31513725457,0.0,0.0,-14.684862745431019,0.0
2024-09-18 13:37:00,237.71,39.29,0,0.0,0.0,99985.31513725457,0.0,99985.31513725457,0.0,0.0,-14.684862745431019,0.0
2024-09-18 13:38:00,237.63,39.28,0,0.0,0.0,99985.31513725457,0.0,99985.31513725457,0.0,0.0,-14.684862745431019,0.0
2024-09-18 13:39:00,237.62,39.29,1,210.38909842869828,-910.4533916904267,85764.37132814415,14220.943809110424,99985.31513725457,0.0,0.0,-14.684862745431019,0.0
2024-09-18 13:40:00,237.61,39.28,0,0.0,0.0,99992.31578018719,0.0,99992.31578018719,0.0,7.000642932616756,-7.684219812814263,7.001671118400665e-05
2024-09-18 13:41:00,237.64,39.29,0,0.0,0.0,99992.31578018719,0.0,99992.31578018719,0.0,0.0,-7.684219812814263,0.0
2024-09-18 13:42:00,237.61,39.28,1,210.4126841887698,-910.7489403581395,85770.37626736131,14221.93951282587,99992.31578018717,0.0,-1.4551915228366852e-11,-7.684219812828815,-1.1102230246251565e-16
2024-09-18 13:43:00,237.61,39.29,1,210.4126841887698,-910.7489403581395,85770.37626736131,14212.832023422292,99983.2082907836,0.0,-9.10748940357007,-16.791709216398885,-9.108189296858082e-05
2024-09-18 13:44:00,237.57,39.29,1,210.4126841887698,-910.7489403581395,85770.37626736131,14204.415516054738,99974.79178341605,0.0,-8.416507367554004,-25.20821658395289,-8.417920880354757e-05
2024-09-18 13:45:00,237.58,39.3,1,210.4126841887698,-910.7489403581395,85770.37626736131,14197.412153493053,99967.78842085437,0.0,-7.003362561677932,-32.21157914563082,-7.005128429626861e-05
2024-09-18 13:46:00,237.6,39.32,1,210.4126841887698,-910.7489403581395,85770.37626736131,14183.405428369653,99953.78169573096,0.0,-14.006725123414071,-46.21830426904489,-0.0001401123836455298
2024-09-18 13:47:00,237.56,39.31,1,210.4126841887698,-910.7489403581395,85770.37626736131,14184.096410405684,99954.47267776699,0.0,0.6909820360306185,-45.527322233014274,6.913015438758663e-06
2024-09-18 13:48:00,237.52,39.32,1,210.4126841887698,-910.7489403581395,85770.37626736131,14166.572413634553,99936.94868099586,0.0,-17.523996771124075,-63.05131900413835,-0.00017531978611518007
2024-09-18 13:49:00,237.47,39.3,1,210.4126841887698,-910.7489403581395,85770.37626736131,14174.266758232283,99944.6430255936,0.0,7.694344597737654,-55.356974406400695,7.699199044286509e-05
2024-09-18 13:50:00,237.26,39.25,1,210.4126841887698,-910.7489403581395,85770.37626736131,14175.617541570544,99945.99380893185,0.0,1.3507833382464014,-54.006191068154294,1.3515315052003984e-05
2024-09-18 13:51:00,237.4,39.28,1,210.4126841887698,-910.7489403581395,85770.37626736131,14177.752849146222,99948.12911650754,0.0,2.1353075756924227,-51.87088349246187,2.1364613971064372e-05
2024-09-18 13:52:00,237.37,39.27,0,0.0,0.0,99950.92422538545,0.0,99950.92422538545,0.0,2.7951088779082056,-49.075774614553666,2.796559478013272e-05
2024-09-18 13:53:00,237.33,39.24,0,0.0,0.0,99950.92422538545,0.0,99950.92422538545,0.0,0.0,-49.075774614553666,0.0
2024-09-18 13:54:00,237.34,39.27,0,0.0,0.0,99950.92422538545,0.0,99950.92422538545,0.0,0.0,-49.075774614553666,0.0
2024-09-18 13:55:00,237.26,39.26,1,210.63585144016153,-910.8357038750513,85734.87184682724,14216.052378558212,99950.92422538545,0.0,0.0,-49.075774614553666,0.0
2024-09-18 13:56:00,237.25,39.24,1,210.63585144016153,-910.8357038750513,85734.87184682724,14232.16273412131,99967.03458094856,0.0,16.110355563112535,-32.96541905144113,0.00016118265726872139
2024-09-18 13:57:00,237.35,39.27,0,0.0,0.0,99960.77309497632,0.0,99960.77309497632,0.0,-6.261485972238006,-39.22690502367914,-6.26355077799623e-05
2024-09-18 13:58:00,237.27,39.26,1,210.6477285265232,-910.9254549417442,85743.31990850103,14217.453186475286,99960.77309497632,0.0,0.0,-39.22690502367914,0.0
2024-09-18 13:59:00,237.21,39.25,1,210.6477285265232,-910.9254549417442,85743.31990850103,14213.923577313115,99957.24348581414,0.0,-3.529609162185807,-42.756514185864944,-3.530994261946585e-05
2024-09-18 14:00:00,238.46,39.79,-1,-209.10981590372336,896.7049000586279,113913.0921278728,-14184.438727069064,99728.65340080374,0.0,-228.59008501039352,-271.34659919625847,-0.002286878639693901
2024-09-18 14:01:00,238.04,39.73,0,0.0,0.0,99762.67722947978,0.0,99762.67722947978,0.0,34.023828676043195,-237.32277052021527,0.00034116402373651766
2024-09-18 14:02:00,238.43,39.75,-1,-209.20747646999072,897.9134759114528,113951.95517673943,-14189.277947259645,99762.67722947978,0.0,0.0,-237.32277052021527,0.0
2024-09-18 14:03:00,238.63,39.86,-1,-209.20747646999072,897.9134759114528,113951.95517673943,-14132.34896020338,99819.60621653605,0.0,56.928987056264305,-180.39378346395097,0.0005706441390431749
2024-09-18 14:04:00,238.7,39.89,-1,-209.20747646999072,897.9134759114528,113951.95517673943,-14120.056079278933,99831.8990974605,0.0,12.292880924447672,-168.1009025395033,0.00012315096593118469
2024-09-18 14:05:00,238.9,40.03,-1,-209.20747646999072,897.9134759114528,113951.95517673943,-14036.189687945327,99915.7654887941,0.0,83.86639133360586,-84.23451120589743,0.000840076088823416
2024-09-18 14:06:00,239.29,40.14,-1,-209.20747646999072,897.9134759114528,113951.95517673943,-14019.01012141836,99932.94505532106,0.0,17.179566526960116,-67.05494467893732,0.00017194049850810522
2024-09-18 14:07:00,238.96,40.09,0,0.0,0.0,99957.0878487606,0.0,99957.0878487606,0.0,24.142793439532397,-42.91215123940492,0.00024158993239087323
2024-09-18 14:08:00,239.03,40.13,0,0.0,0.0,99957.0878487606,0.0,99957.0878487606,0.0,0.0,-42.91215123940492,0.0
2024-09-18 14:09:00,239.21,40.21,0,0.0,0.0,99957.0878487606,0.0,99957.0878487606,0.0,0.0,-42.91215123940492,0.0
2024-09-18 14:10:00,239.35,40.29,0,0.0,0.0,99957.0878487606,0.0,99957.0878487606,0.0,0.0,-42.91215123940492,0.0
2024-09-18 14:11:00,238.96,40.28,1,209.1502507715948,-887.8255931397678,85740.15881605014,14216.929032710454,99957.0878487606,0.0,0.0,-42.91215123940492,0.0
2024-09-18 14:12:00,238.7,40.13,1,209.1502507715948,-887.8255931397678,85740.15881605014,14295.723806480797,100035.88262253095,0.0,78.79477377035073,35.88262253094581,0.0007882860081875886
2024-09-18 14:13:00,238.96,40.33,1,209.1502507715948,-887.8255931397678,85740.15881605014,14172.537753053468,99912.6965691036,0.0,-123.18605342734372,-87.30343089639791,-0.0012314186689607043
2024-09-18 14:14:00,239.24,40.41,0,0.0,0.0,99900.23259186847,0.0,99900.23259186847,0.0,-12.463977235136554,-99.76740813153447,-0.00012474868223100177
2024-09-18 14:15:00,239.36,40.51,0,0.0,0.0,99900.23259186847,0.0,99900.23259186847,0.0,0.0,-99.76740813153447,0.0
2024-09-18 14:16:00,239.6,40.66,0,0.0,0.0,99900.23259186847,0.0,99900.23259186847,0.0,0.0,-99.76740813153447,0.0
2024-09-18 14:17:00,239.7,40.78,0,0.0,0.0,99900.23259186847,0.0,99900.23259186847,0.0,0.0,-99.76740813153447,0.0
2024-09-18 14:18:00,239.59,40.74,0,0.0,0.0,99900.23259186847,0.0,99900.23259186847,0.0,0.0,-99.76740813153447,0.0
2024-09-18 14:19:00,239.55,40.77,1,208.5164529156094,-876.6562130207622,85691.39010079071,14208.842491077754,99900.23259186847,0.0,0.0,-99.76740813153447,0.0
2024-09-18 14:20:00,239.55,40.79,1,208.5164529156094,-876.6562130207622,85691.39010079071,14191.309366817346,99882.69946760806,0.0,-17.533124260400655,-117.30053239193512,-0.00017550634073126847
2024-09-18 14:21:00,239.56,40.75,0,0.0,0.0,99919.85088065805,0.0,99919.85088065805,0.0,37.15141304998542,-80.1491193419497,0.0003719504303347776
2024-09-18 14:22:00,239.91,40.84,-1,-208.2444476692469,875.3254807461356,114131.4836873149,-14211.632806656846,99919.85088065805,0.0,0.0,-80.1491193419497,0.0
2024-09-18 14:23:00,239.96,40.9,0,0.0,0.0,99961.95818711937,0.0,99961.95818711937,0.0,42.1073064613156,-38.0418128806341,0.00042141082167557187
2024-09-18 14:24:00,239.94,40.92,0,0.0,0.0,99961.95818711937,0.0,99961.95818711937,0.0,0.0,-38.0418128806341,0.0
2024-09-18 14:25:00,240.01,40.91,-1,-208.24540266472098,874.1959753371897,114179.57992963462,-14217.621742515257,99961.95818711937,0.0,0.0,-38.0418128806341,0.0
2024-09-18 14:26:00,239.81,40.84,0,0.0,0.0,99942.41354937872,0.0,99942.41354937872,0.0,-19.544637740647886,-57.58645062128198,-0.00019552075704698524
