,GLD,GDX,positions,num_shares_GLD,num_shares_GDX,cash,holdings,total_asset,transaction_costs,pnl,cumulative_pnl,returns
2024-08-20 12:01:00,231.71,39.29,0,0.0,0.0,99900.057973374,0.0,99900.057973374,0.0,0.0,-99.94202662599855,0.0
2024-08-20 12:02:00,231.53,39.25,1,215.73890634771735,-496.05092437078656,69420.02776824037,30480.03020513363,99900.057973374,0.0,0.0,-99.94202662599855,0.0
2024-08-20 12:03:00,231.28,39.2,1,215.73890634771735,-496.05092437078656,69420.02776824037,30450.898024765236,99870.9257930056,0.0,-29.132180368396803,-129.07420699439535,-0.00029161324787385645
2024-08-20 12:04:00,231.49,39.21,0,0.0,0.0,99911.27045409492,0.0,99911.27045409492,0.0,40.344661089315196,-88.72954590508016,0.0004039680294236625
2024-08-20 12:05:00,231.59,39.26,0,0.0,0.0,99911.27045409492,0.0,99911.27045409492,0.0,0.0,-88.72954590508016,0.0
2024-08-20 12:06:00,231.53,39.24,0,0.0,0.0,99911.27045409492,0.0,99911.27045409492,0.0,0.0,-88.72954590508016,0.0
2024-08-20 12:07:00,231.57,39.24,0,0.0,0.0,99911.27045409492,0.0,99911.27045409492,0.0,0.0,-88.72954590508016,0.0
2024-08-20 12:08:00,231.62,39.28,0,0.0,0.0,99911.27045409492,0.0,99911.27045409492,0.0,0.0,-88.72954590508016,0.0
2024-08-20 12:09:00,231.75,39.34,0,0.0,0.0,99911.27045409492,0.0,99911.27045409492,0.0,0.0,-88.72954590508016,0.0
2024-08-20 12:10:00,231.77,39.35,0,0.0,0.0,99911.27045409492,0.0,99911.27045409492,0.0,0.0,-88.72954590508016,0.0
2024-08-20 12:11:00,231.76,39.37,0,0.0,0.0,99911.27045409492,0.0,99911.27045409492,0.0,0.0,-88.72954590508016,0.0
2024-08-20 12:12:00,231.81,39.39,0,0.0,0.0,99911.27045409492,0.0,99911.27045409492,0.0,0.0,-88.72954590508016,0.0
